id,question,our_model_answer_bAPI,our_model_answer_aAPI,gpt_answer,,
0,What is the capital of Canada?,The capital of Canada is [QA('What is the capital of Canada?')].,The capital of Canada is [Ottawa].,The capital of Canada is Ottawa.,,
1,Who was the first president of the United States?,[QA('Who was the first President of the United States?')] was [QA('When was George Washington inaugurated as the first President of the United States?')].,"[George Washington] was [April 30, 1789].",The first president of the United States was George Washington.,,
2,What year did World War II end?,World War II ended in [QA('In which year did World War II end?')].,"World War II ended in [May 7, 1945].",World War II ended in 1945.,,
3,Who painted the Mona Lisa?,The Mona Lisa was painted by [QA('Who painted the Mona Lisa?')].,The Mona Lisa was painted by [Leonardo da Vinci].,The Mona Lisa was painted by Leonardo da Vinci.,,
4,What is the largest planet in our solar system?,"[Jupiter](https://en.wikipedia.org/wiki/Jupiter), [QA('What is the position of Jupiter in our solar system?')], is the largest planet in the [QA('what is the name of our solar system?')].","[Jupiter](https://en.wikipedia.org/wiki/Jupiter), [fifth planet from our Sun], is the largest planet in the [planetary system].",The largest planet in our solar system is Jupiter.,,
5,What is the smallest country in the world?,The smallest country in the world is [QA('What is the name of the smallest country in the world?')].,The smallest country in the world is [Vatican City].,"The smallest country in the world is Vatican City, which is an independent city-state surrounded by the city of Rome, Italy. The total area of Vatican City is only 0.44 square kilometers, or 0.17 square miles, making it the world's smallest country by land area and population.",,
6,What is the largest ocean in the world?,The largest ocean in the world is the [QA('What is the name of the largest ocean in the world?')].,The largest ocean in the world is the [Pacific Ocean].,"The largest ocean in the world is the Pacific Ocean. It is the largest body of water on Earth, covering an area of approximately 63.8 million square miles.",,
7,Who invented the telephone?,The telephone was invented by [QA('Who invented the telephone?')].,The telephone was invented by [Alexander Graham Bell].,The telephone was invented by Alexander Graham Bell in 1876.,,
8,What is the currency of Japan?,The currency of Japan is the [QA('What is the currency of Japan?')].,The currency of Japan is the [Japanese yen].,The currency of Japan is the Japanese Yen (JPY).,,
9,Who wrote the play Hamlet?,The play Hamlet was written by [QA('Who wrote the play Hamlet?')].,The play Hamlet was written by [William Shakespeare].,The play Hamlet was written by William Shakespeare.,,
10,What is the main language spoken in Brazil?,The main language spoken in Brazil is [QA('What language is spoken in Brazil?')].,The main language spoken in Brazil is [Portuguese].,The main language spoken in Brazil is Portuguese.,,
11,Who painted the The Starry Night?,The Starry Night was painted by [QA('Who painted The Starry Night?')].,The Starry Night was painted by [Van Gogh].,The Starry Night was painted by the Dutch post-impressionist artist Vincent van Gogh in June 1889.,,
12,What is the name of the biggest desert in the world?,"The name of the biggest desert in the world is [QA(""What is the name of the world's largest desert by area?"")].","The name of the biggest desert in the world is [1. Antarctic Polar Desert. The Antarctic Polar Desert, which makes up the vast majority of Antarctica, is the largest desert in the world. In fact, this single desert is larger than the combined size of the Gobi Desert, the Arabian Desert, and the Sahara Desert.].",The name of the biggest desert in the world is the Sahara Desert.,1,
13,Who wrote the novel The Great Gatsby?,The Great Gatsby was written by [QA('Who is the author of the novel The Great Gatsby?')].,The Great Gatsby was written by [F. Scott Fitzgerald].,The Great Gatsby was written by F. Scott Fitzgerald.,,
