Questions;
What is the capital of Canada?;
Who was the first president of the United States?;
What year did World War II end?;
What is the highest mountain in the world?;
Who painted the Mona Lisa?;
What is the largest planet in our solar system?;
Who wrote the novel Pride and Prejudice?;
What is the smallest country in the world?;
What is the largest ocean in the world?;
Who invented the telephone?;
What is the most populated country in the world?;
What is the currency of Japan?;
Who wrote the play Hamlet?;
What is the main language spoken in Brazil?;
What is the name of the first man on the moon?;
Who painted the The Starry Night?;
What is the name of the biggest desert in the world?;
Who wrote the novel The Great Gatsby?;
What is the name of the smallest continent?;
What is the name of the biggest river in Africa?;
What is the currency of India?;
Who painted the The Last Supper?;
What is the name of the biggest island in the world?;
Who wrote the novel To Kill a Mockingbird?;
What is the name of the biggest waterfall in the world?;
What is the main language spoken in Russia?;
Who discovered penicillin?;
What is the name of the highest waterfall in the world?;
Who wrote the novel 1984?;
What is the name of the biggest lake in the world?;
What is the capital of France?;
Who painted the Girl with a Pearl Earring?;
What is the name of the largest country in the world?;
What is the name of the largest mountain range in the world?;
Who wrote the play Romeo and Juliet?;
What is the main language spoken in China?;
Who discovered the theory of relativity?;
What is the name of the biggest stadium in the world?;
What is the name of the biggest palace in the world?;
What is the capital of Spain?;
Who painted the The Persistence of Memory?;
What is the name of the biggest animal in the world?;
Who wrote the novel War and Peace?;
What is the name of the biggest bird in the world?;
What is the name of the biggest fish in the world?;
What is the main language spoken in Germany?;
Who discovered the law of gravity?;
What is the name of the biggest reptile in the world?;
What is the name of the biggest mammal in the world?;
What is the capital of Italy?;
Who painted the The Birth of Venus?;
What is the name of the biggest carnivorous dinosaur?;
What is the name of the biggest herbivorous dinosaur?;
Who wrote the novel Don Quixote?;
What is the main language spoken in Mexico?;
What is the name of the biggest spider in the world?;
What is the name of the biggest snake in the world?;
What is the name of the biggest flower in the world?;
What is the name of the biggest butterfly in the world?;
What is the capital of Australia?;
Who painted the The Creation of Adam?;
What is the name of the biggest city in the world?;
Who wrote the novel The Catcher in the Rye?;
What is the main language spoken in Egypt?;
What is the name of the biggest land animal in the world?;
Who discovered the double-helix structure of DNA?;
What is the name of the biggest moon in our solar system?;
Who painted the The Night Watch?;
What is the name of the biggest spider in the world by leg span?;
What is the name of the largest reptile alive today?;
What is the capital of China?;
Who wrote the novel The Hobbit?;
What is the name of the biggest tree in the world?;
Who discovered the electron?;
What is the name of the biggest bat in the world?;
What is the name of the biggest cave system in the world?;
What is the main language spoken in Indonesia?;
Who invented the printing press?;
What is the name of the biggest rodent in the world?;
What is the name of the biggest antelope in the world?;
What is the capital of Japan?;
Who painted the The Garden of Earthly Delights?;
What is the name of the biggest flower by weight?;
Who discovered the laws of motion?;
What is the name of the biggest marsupial in the world?;
What is the name of the biggest beetle in the world?;
What is the name of the biggest bear in the world?;
What is the main language spoken in Nigeria?;
Who invented the first computer?;
What is the name of the biggest seahorse in the world?;
What is the name of the biggest squid in the world?;
What is the name of the biggest freshwater fish in the world?;
What is the capital of South Africa?;
Who painted the The Hay Wagon?;
What is the name of the biggest penguin in the world?;
Who discovered X-rays?;
What is the name of the biggest lizard in the world?;
What is the name of the biggest marsupial by size?;
What is the name of the biggest living species of turtle?;
Who invented the World Wide Web?;
"In which sport are barani, rudolph, and randolph all techniques?;"
What color does gold leaf appear if you hold it up to the light?;
What is the family name of the ruling dynasty of Monaco?;
In which branch of the arts is Katherine Dunham famous?;
"From 1919 to 1933, the Weimar Republic was the government of what nation?;"
"Atropos, Lachesis, and Clotho are the Three what of Greek mythology?;"
Which was the only painting sold by Vincent Van Gogh during his life?;
What was the first movie to be rated PG-13?;
What geothermal Icelandic site has the same name as a 1980 movie?;
Who’s the only athlete who ever lit the cauldron for an Olympics and then won a gold medal at those same games?;
"If you order “murgh” from the menu at an Indian restaurant, what meat will you get?;"
What comedy became the first film directed by a woman to gross over $100 million at the box office?;
Sahti is a type of beer that’s trad­itionally flavored with juniper. Which country would you be most likely to find it in?;
The surface area of Earth is about how many square miles?;
What insect has the shortest life span?;
John Wesley founded what Christian denomination in 1738?;
Who discovered the life or death importance of washing hands while studying maternity wards?;
"During the mid-1970s, David Bowie’s diet reportedly consisted solely of milk, red peppers, and what else?;"
Crying after sex is a normal response and is also called what?;
"In the Gilded Age, who was called the “witch of Wallstreet.” She apparently only wore black and left behind a fortune worth $100 million.;"
Which bird has the largest wingspan of any living bird?;
How has the Statue of Liberty changed since it was built?;
Who was the first Time Magazine “Man of the Year”?;
How long is a “jiffy”?
What is the only king in a deck of cards without a mustache?;
The Treaty of Ghent was the peace treaty that ended which war?;
"Jimi Hendrix, Janis Joplin, Jim Morrison, and Amy Winehouse all died at what age?;"
What does the “E” stand for in the name of the American restaurant chain Chuck E. Cheese?;
Which planet has moons that are nearly all named after Shakespearean characters?;
"In 1952, the United States Air Force created Project Blue Book to study what?;"
Peter and the Wolf is a musical composition written by which Russian composer?;
"In the human body, what is the hallux?;"
Which two countries are connected by the Karakoram Pass?
Which fruit brand originally focusing on bananas overturned the Guatemala governement with the use of the CIA?;
