id,question,our_model_answer_bAPI,our_model_answer_aAPI,gpt_answer
0,What is the capital of Canada?,The capital of Canada is [QA('What is the capital of Canada?')].,The capital of Canada is [Ottawa].,The capital of Canada is Ottawa.
1,Who was the first president of the United States?,[QA('Who was the first President of the United States?')] was [QA('When was George Washington inaugurated as the first President of the United States?')].,"[George Washington] was [April 30, 1789].",The first president of the United States was George Washington.
2,What year did World War II end?,World War II ended in [QA('In which year did World War II end?')].,"World War II ended in [May 7, 1945].",World War II ended in 1945.
3,What is the highest mountain in the world?,"The highest mountain in the world is [QA('What is the name of the highest mountain in the world?')], also known as Mount Everest. It is located in the [QA('In which mountain range is Mount Everest located?')].","The highest mountain in the world is [[This type of question is not supported yet]], also known as Mount Everest. It is located in the [[This type of question is not supported yet]].","The highest mountain in the world is Mount Everest, located in the Himalayas on the border of Nepal and Tibet. It has an elevation of 29,029 feet (8,848 meters)."
4,Who painted the Mona Lisa?,The Mona Lisa was painted by [QA('Who painted the Mona Lisa?')].,The Mona Lisa was painted by [Leonardo da Vinci].,The Mona Lisa was painted by Leonardo da Vinci.
5,What is the largest planet in our solar system?,"[Jupiter](https://en.wikipedia.org/wiki/Jupiter), [QA('What is the position of Jupiter in our solar system?')], is the largest planet in the [QA('what is the name of our solar system?')].","[Jupiter](https://en.wikipedia.org/wiki/Jupiter), [fifth planet from our Sun], is the largest planet in the [planetary system].",The largest planet in our solar system is Jupiter.
6,Who wrote the novel Pride and Prejudice?,Pride and Prejudice was written by [QA('Who is the author of the novel Pride and Prejudice?')].,Pride and Prejudice was written by [[This type of question is not supported yet]].,The novel Pride and Prejudice was written by Jane Austen.
7,What is the smallest country in the world?,The smallest country in the world is [QA('What is the name of the smallest country in the world?')].,The smallest country in the world is [Vatican City].,"The smallest country in the world is Vatican City, which is an independent city-state surrounded by the city of Rome, Italy. The total area of Vatican City is only 0.44 square kilometers, or 0.17 square miles, making it the world's smallest country by land area and population."
8,What is the largest ocean in the world?,The largest ocean in the world is the [QA('What is the name of the largest ocean in the world?')].,The largest ocean in the world is the [Pacific Ocean].,"The largest ocean in the world is the Pacific Ocean. It is the largest body of water on Earth, covering an area of approximately 63.8 million square miles."
9,Who invented the telephone?,The telephone was invented by [QA('Who invented the telephone?')].,The telephone was invented by [Alexander Graham Bell].,The telephone was invented by Alexander Graham Bell in 1876.
10,What is the most populated country in the world?,The most populated country in the world is [QA('What is the most populated country in the world?')].,The most populated country in the world is [[This type of question is not supported yet]].,"As of 2021, the most populated country in the world is China, with a population of over 1.4 billion people."
11,What is the currency of Japan?,The currency of Japan is the [QA('What is the currency of Japan?')].,The currency of Japan is the [Japanese yen].,The currency of Japan is the Japanese Yen (JPY).
12,Who wrote the play Hamlet?,The play Hamlet was written by [QA('Who wrote the play Hamlet?')].,The play Hamlet was written by [William Shakespeare].,The play Hamlet was written by William Shakespeare.
13,What is the main language spoken in Brazil?,The main language spoken in Brazil is [QA('What language is spoken in Brazil?')].,The main language spoken in Brazil is [Portuguese].,The main language spoken in Brazil is Portuguese.
14,What is the name of the first man on the moon?,The name of the first man on the moon is [QA('Who was the first man to step on the moon?')].,The name of the first man on the moon is [[This type of question is not supported yet]].,The name of the first man on the moon was Neil Armstrong.
